a_lua_i,e_lua_i,M0,inc_lua_i,status,dist_min,t_periapsis,dentro_alerta,dentro_hill,dentro_forte
1.5,0.43,45,0,COLISAO,4.30087952989526e-05,8342.454630063707,True,True,True
1.5,0.43,45,10,ESTAVEL,0.0017196924442533052,6842.844727308784,True,True,True
1.5,0.43,45,20,ESTAVEL,0.008901976517102065,35128.62132715266,True,True,False
1.5,0.43,90,0,COLISAO,4.3435576928724094e-05,23102.741428038986,True,True,True
1.5,0.43,90,10,ESTAVEL,0.012228630316455933,11403.211273278896,True,False,False
1.5,0.43,90,20,ESTAVEL,0.0015946275518881445,30557.454308878547,True,True,True
1.5,0.43,135,0,COLISAO,0.0018732291282661962,4502.937125591575,True,True,True
1.5,0.43,135,10,ESTAVEL,0.005955744351304445,11964.327407791472,True,True,False
1.5,0.43,135,20,ESTAVEL,0.005716038060086543,35061.09249823619,True,True,False
1.5,0.43,180,0,COLISAO,0.0003899108754269254,2960.310485336031,True,True,True
1.5,0.43,180,10,ESTAVEL,0.0023316096979727834,41784.984659953814,True,True,True
1.5,0.43,180,20,ESTAVEL,0.003723642094920805,30586.81339522705,True,True,True
1.5,0.43,225,0,COLISAO,4.48770190681215e-05,20304.34880946173,True,True,True
1.5,0.43,225,10,ESTAVEL,0.0013905873461430016,24418.964383647515,True,True,True
1.5,0.43,225,20,ESTAVEL,0.006185338407328908,30463.604259687407,True,True,False
1.5,0.43,270,0,COLISAO,4.307098114082282e-05,22549.332025068543,True,True,True
1.5,0.43,270,10,ESTAVEL,0.002103612322277431,6751.8652496886725,True,True,True
1.5,0.43,270,20,ESTAVEL,0.002320655856881342,9053.944094535182,True,True,True
1.5,0.43,315,0,COLISAO,0.0010113077297958758,205.892499460354,True,True,True
1.5,0.43,315,10,ESTAVEL,0.0029250356277158236,11695.179465927762,True,True,True
1.5,0.43,315,20,ESTAVEL,0.003737856371239273,13199.331716781899,True,True,True
1.5,0.45,0,0,COLISAO,4.56522984880259e-05,6852.904458402362,True,True,True
1.5,0.45,0,10,ESTAVEL,0.003382905162291828,29022.593042007422,True,True,True
1.5,0.45,0,20,ESTAVEL,0.0017757029851381784,30200.36598134513,True,True,True
1.5,0.45,45,0,COLISAO,0.0002839661366841021,13914.840487162855,True,True,True
1.5,0.45,45,10,ESTAVEL,0.003415838527072541,40572.9101145411,True,True,True
1.5,0.45,45,20,ESTAVEL,0.0035849175899841006,12215.51952143552,True,True,True
1.5,0.45,90,0,COLISAO,0.00027909418494357404,6238.538723090939,True,True,True
1.5,0.45,90,10,ESTAVEL,0.004727195391602162,29641.910079294597,True,True,True
1.5,0.45,90,20,ESTAVEL,0.010528096015685249,9009.929159999585,True,False,False
1.5,0.45,135,0,COLISAO,4.4029278425488294e-05,27653.743207330357,True,True,True
1.5,0.45,135,10,ESTAVEL,0.00259683682918522,29349.10029843806,True,True,True
1.5,0.45,135,20,ESTAVEL,0.008685791417660032,9417.947614916244,True,True,False
1.5,0.45,180,0,EJETADA,5.8107435769070484e-05,19132.93028145407,True,True,True
1.5,0.45,180,10,ESTAVEL,0.001667215621051393,11289.265139151783,True,True,True
1.5,0.45,180,20,ESTAVEL,0.004416624695513791,12395.434411367156,True,True,True
1.5,0.45,225,0,COLISAO,4.376360251352154e-05,18559.34629703204,True,True,True
1.5,0.45,225,10,ESTAVEL,0.0005711761857901694,49079.88418359003,True,True,True
1.5,0.45,225,20,ESTAVEL,0.002681485452060556,9245.945125505465,True,True,True
1.5,0.45,270,0,COLISAO,4.563219725868052e-05,10758.334366620205,True,True,True
1.5,0.45,270,10,ESTAVEL,0.00449025928265964,46746.570068857276,True,True,True
1.5,0.45,270,20,ESTAVEL,0.002339971116272824,9244.943208186045,True,True,True
1.5,0.45,315,0,COLISAO,0.00027117934083393624,3815.6932320015953,True,True,True
1.5,0.45,315,10,ESTAVEL,0.003740368979384276,7158.852195428224,True,True,True
1.5,0.45,315,20,ESTAVEL,0.0029358670542298164,29707.251066003755,True,True,True
1.5,0.5,0,0,COLISAO,8.855733308490448e-05,8274.589916044182,True,True,True
