a_lua_i,e_lua_i,M0,inc_lua_i,status,dist_min,t_periapsis,dentro_alerta,dentro_hill,dentro_forte
1.7,0.5,0,10,ESTAVEL,0.0011269507252770804,22529.321378787845,True,True,True
1.7,0.5,0,20,ESTAVEL,0.004051393357988079,24867.653120573294,True,True,True
1.7,0.5,45,0,COLISAO,0.0006698483425111703,2553.7514105099817,True,True,True
1.7,0.5,45,10,ESTAVEL,0.0035701600998086285,49934.40398831892,True,True,True
1.7,0.5,45,20,ESTAVEL,0.005791453130344575,25043.42738947672,True,True,False
1.7,0.5,90,0,COLISAO,4.4171235797334574e-05,9339.906049658586,True,True,True
1.7,0.5,90,10,ESTAVEL,0.0029903870164017096,45195.21546312998,True,True,True
1.7,0.5,90,20,ESTAVEL,0.0031319299462236726,6518.845385335884,True,True,True
1.7,0.5,135,0,COLISAO,0.00020313752501678427,2501.3068817609224,True,True,True
1.7,0.5,135,10,ESTAVEL,0.0022140688411402395,37565.479117564835,True,True,True
1.7,0.5,135,20,ESTAVEL,0.002262269538381398,9241.430582765737,True,True,True
1.7,0.5,180,0,COLISAO,0.00028984362366054706,12591.929604724937,True,True,True
1.7,0.5,180,10,ESTAVEL,0.0052504247734171524,47583.03739743965,True,True,False
1.7,0.5,180,20,ESTAVEL,0.005951290186543169,40384.43953320967,True,True,False
1.7,0.5,225,0,COLISAO,4.2636974029311366e-05,531.8845389763874,True,True,True
1.7,0.5,225,10,ESTAVEL,0.004796057527295881,49298.196721143715,True,True,True
1.7,0.5,225,20,ESTAVEL,0.005377670347541525,40313.10297377573,True,True,False
1.7,0.5,270,0,COLISAO,0.0004499561849601905,1156.9782120611756,True,True,True
1.7,0.5,270,10,ESTAVEL,0.0028175267546209993,41050.36744106925,True,True,True
1.7,0.5,270,20,ESTAVEL,0.005390567393670203,6595.841631365365,True,True,False
1.7,0.5,315,0,COLISAO,4.5301543819570734e-05,8298.94177146165,True,True,True
1.7,0.5,315,10,ESTAVEL,0.0008215013808970223,18386.36561148749,True,True,True
1.7,0.5,315,20,ESTAVEL,0.014974715193569285,6351.837831479637,True,False,False
1.7,0.55,0,0,COLISAO,0.00014436163417767906,5825.549614047323,True,True,True
1.7,0.55,0,10,ESTAVEL,0.004069978006526153,20728.288596080234,True,True,True
1.7,0.55,0,20,ESTAVEL,0.004482350554545444,6864.831216149985,True,True,True
1.7,0.55,45,0,COLISAO,0.0001051770590970095,2206.087946407583,True,True,True
1.7,0.55,45,10,ESTAVEL,0.011556765864343036,5998.809601622795,True,False,False
1.7,0.55,45,20,ESTAVEL,0.03584691637220742,49349.25361762898,False,False,False
1.7,0.55,90,0,COLISAO,0.0001525400662961728,9848.102769132829,True,True,True
1.7,0.55,90,10,ESTAVEL,0.0006001760880787238,33649.40304201513,True,True,True
1.7,0.55,90,20,ESTAVEL,0.0029302095286581485,34782.61547992849,True,True,True
1.7,0.55,135,0,COLISAO,4.488215551987906e-05,15299.719288796137,True,True,True
1.7,0.55,135,10,ESTAVEL,0.0013098875525208932,41596.90492904781,True,True,True
1.7,0.55,135,20,ESTAVEL,0.006555781489037132,35290.73436168769,True,True,False
1.7,0.55,180,0,COLISAO,0.0056432460632056865,654.5491226109224,True,True,False
1.7,0.55,180,10,ESTAVEL,0.015733245457899225,5457.789448832852,True,False,False
1.7,0.55,180,20,ESTAVEL,0.002113754783246508,22548.13609604103,True,True,True
1.7,0.55,225,0,COLISAO,4.488001803163396e-05,62.51621372785788,True,True,True
1.7,0.55,225,10,ESTAVEL,0.010201529708027028,20916.567281869797,True,False,False
1.7,0.55,225,20,ESTAVEL,0.005174581787650698,36983.98161211248,True,True,False
1.7,0.55,270,0,COLISAO,7.863850062231287e-05,31180.178195706718,True,True,True
1.7,0.55,270,10,ESTAVEL,0.008072815285937182,34337.08605210461,True,True,False
1.7,0.55,270,20,ESTAVEL,0.012400548085604904,22374.625711605022,True,False,False
1.7,0.55,315,0,COLISAO,6.490148724826644e-05,19168.98905201902,True,True,True
1.7,0.55,315,10,ESTAVEL,0.009103139487056584,7358.282872046992,True,True,False
1.7,0.55,315,20,ESTAVEL,0.0005795070488587208,49698.367354624155,True,True,True
1.7,0.6,0,0,COLISAO,5.769167729278159e-05,1125.4825715822615,True,True,True
1.7,0.6,0,10,ESTAVEL,0.00284554243319314,30640.362176563376,True,True,True
1.7,0.6,0,20,ESTAVEL,0.014593084663568987,45997.44518891102,True,False,False
1.7,0.6,45,0,COLISAO,4.6571262828274456e-05,3998.406989604591,True,True,True
1.7,0.6,45,10,ESTAVEL,0.01515891316401809,6914.300625100599,True,False,False
1.7,0.6,45,20,ESTAVEL,0.01048307929967903,46091.205920534005,True,False,False
1.7,0.6,90,0,COLISAO,8.89073356938836e-05,10729.352597961057,True,True,True
1.7,0.6,90,10,ESTAVEL,0.0032571759484247204,6545.272618723043,True,True,True
1.7,0.6,90,20,ESTAVEL,0.005032454246218578,33389.56013488589,True,True,False
1.7,0.6,135,0,COLISAO,0.0005524701497489183,9236.71059258395,True,True,True
1.7,0.6,135,10,ESTAVEL,0.005438770228410737,18192.497160855717,True,True,False
1.7,0.6,135,20,ESTAVEL,0.009474367543104422,33488.473850646675,True,True,False
1.7,0.6,180,0,COLISAO,0.0006906414846170839,16301.39195716112,True,True,True
1.7,0.6,180,10,ESTAVEL,0.005057694537790964,30103.97378734912,True,True,False
1.7,0.6,180,20,ESTAVEL,0.005529303510240827,20278.50993630221,True,True,False
1.7,0.6,225,0,COLISAO,0.00016051553487600627,36769.955657352126,True,True,True
1.7,0.6,225,10,ESTAVEL,0.0023512798490865354,19039.073621132295,True,True,True
1.7,0.6,225,20,ESTAVEL,0.004021916413235931,33995.15836909128,True,True,True
1.7,0.6,270,0,COLISAO,4.279811916708823e-05,33307.038968534325,True,True,True
1.7,0.6,270,10,ESTAVEL,0.005857675654735967,18147.700130955778,True,True,False
1.7,0.6,270,20,ESTAVEL,0.005134156123844093,20417.36421602462,True,True,False
1.7,0.6,315,0,COLISAO,4.26774749607548e-05,3188.75631990375,True,True,True
1.7,0.6,315,10,ESTAVEL,0.0017511772145584919,30081.72846239026,True,True,True
1.7,0.6,315,20,ESTAVEL,0.0218735245990677,47087.51695234408,False,False,False
1.8,0.43,0,0,COLISAO,0.002979638061822101,19471.496623172352,True,True,True
1.8,0.43,0,10,ESTAVEL,0.055064022828793385,11733.323796068527,False,False,False
1.8,0.43,0,20,ESTAVEL,0.04969708657460708,15341.439250297026,False,False,False
1.8,0.43,45,0,ESTAVEL,0.0009425937974042618,18637.888695944395,True,True,True
1.8,0.43,45,10,ESTAVEL,0.05657035379646858,12129.367247185106,False,False,False
